Wavelength(nm)	Intensity
772.673	58.62
772.721	-12.38
772.77	2.52
772.819	2.62
772.867	110.22
772.916	110.12
772.965	144.82
773.013	165.22
773.062	139.52
773.111	151.22
773.159	141.62
773.208	139.52
773.256	161.92
773.305	160.72
773.354	220.52
773.402	251.52
773.451	334.62
773.499	463.52
773.548	528.92
773.596	673.22
773.645	770.12
773.693	890.92
773.742	980.02
773.79	1017.42
773.839	1085.52
773.887	1067.32
773.936	1114.42
773.984	1125.02
774.033	1140.22
774.081	1172.82
774.129	1195.62
774.178	1199.92
774.226	1258.22
774.275	1218.72
774.323	1293.32
774.371	1223.12
774.42	1193.72
774.468	1196.02
774.516	1155.22
774.565	1191.12
774.613	1171.12
774.661	1183.22
774.71	1178.72
774.758	1174.82
774.806	1224.92
774.854	1207.12
774.903	1219.32
774.951	1219.12
774.999	1222.62
775.047	1184.82
775.095	1207.52
775.144	1167.12
775.192	1169.02
775.24	1193.12
775.288	1209.22
775.336	1241.22
775.385	1238.82
775.433	1256.62
775.481	1340.32
775.529	1314.22
775.577	1313.42
775.625	1242.02
775.673	1278.72
775.721	1265.32
775.769	1222.02
775.817	1222.02
775.866	1218.22
775.914	1223.82
775.962	1279.32
776.01	1235.02
776.058	1322.82
776.106	1353.02
776.154	1384.12
776.202	1341.62
776.25	1349.82
776.298	1347.52
776.345	1278.72
776.393	1287.52
776.441	1207.52
776.489	1254.32
776.537	1240.32
776.585	1237.72
776.633	1257.72
776.681	1343.52
776.729	1372.52
776.777	1372.42
776.824	1402.92
776.872	1335.62
776.92	1342.12
776.968	1314.72
777.016	1212.32
777.064	1228.72
777.111	1192.82
777.159	1188.02
777.207	1207.32
777.255	1234.42
777.302	1223.22
777.35	1225.82
777.398	1237.02
777.446	1229.82
777.493	1229.92
777.541	1207.22
777.589	1192.82
777.636	1201.12
777.684	1149.42
777.732	1163.72
777.779	1139.12
777.827	1179.92
777.875	1213.72
777.922	1172.42
777.97	1192.92
778.018	1226.22
778.065	1257.02
778.113	1236.72
778.16	1281.32
778.208	1279.32
778.255	1323.52
778.303	1332.22
778.351	1375.52
778.398	1391.32
778.446	1385.02
778.493	1370.02
778.541	1375.12
778.588	1351.42
778.636	1372.62
778.683	1374.82
778.731	1406.02
778.778	1475.82
778.825	1518.42
778.873	1531.02
778.92	1563.32
778.968	1704.92
779.015	1705.82
779.062	1766.22
779.11	1796.32
779.157	1782.42
779.205	1782.72
779.252	1817.32
779.299	1817.22
779.347	1873.02
779.394	1927.82
779.441	2011.82
779.488	2088.32
779.536	2149.92
779.583	2275.02
779.63	2253.32
779.678	2296.32
779.725	2332.12
779.772	2374.22
779.819	2456.22
779.867	2433.92
779.914	2591.02
779.961	2587.02
780.008	2725.82
780.055	2834.32
780.102	3007.52
780.15	3136.32
780.197	3178.32
780.244	3187.82
780.291	3090.42
780.338	2988.32
780.385	2906.62
780.432	2729.62
780.479	2726.62
780.527	2802.92
780.574	2909.22
780.621	3037.22
780.668	3280.82
780.715	3553.02
780.762	3765.22
780.809	3915.42
780.856	4020.22
780.903	4125.82
780.95	4197.32
780.997	4167.32
781.044	4217.12
781.091	4194.72
781.138	4291.52
781.185	4309.32
781.232	4417.32
781.278	4546.42
781.325	4684.92
781.372	4789.72
781.419	4815.02
781.466	4836.22
781.513	4864.12
781.56	4852.02
781.607	4888.42
781.654	4901.92
781.7	5152.52
781.747	5325.72
781.794	5743.52
781.841	5930.02
781.888	6206.52
781.934	6314.92
781.981	6344.12
782.028	6227.12
782.075	5778.62
782.121	5357.72
782.168	4928.92
782.215	4731.52
782.262	4639.32
782.308	4921.32
782.355	5442.32
782.402	6241.72
782.448	7234.02
782.495	8280.62
782.542	9111.92
782.588	9662.72
782.635	9842.42
782.682	9546.32
782.728	8917.72
782.775	7799.52
782.821	6734.02
782.868	5804.52
782.915	5186.92
782.961	4904.42
783.008	5186.92
783.054	6108.52
783.101	7262.72
783.147	8641.22
783.194	9833.82
783.24	10811.92
783.287	11266.62
783.333	11116.32
783.38	10427.52
783.426	9244.82
783.473	7942.02
783.519	6784.32
783.566	5932.52
783.612	5669.82
783.658	5827.82
783.705	6799.52
783.751	8185.12
783.798	9523.52
783.844	11043.72
783.89	12063.82
783.937	12466.22
783.983	12118.52
784.029	11149.92
784.076	10008.62
784.122	8616.32
784.168	7304.32
784.215	6460.72
784.261	6367.72
784.307	6954.52
784.353	8278.32
784.4	9854.02
784.446	11431.52
784.492	12818.32
784.538	13797.02
784.585	13975.52
784.631	13400.42
784.677	12293.52
784.723	10652.22
784.769	9297.42
784.816	7948.32
784.862	7415.12
784.908	7407.62
784.954	8278.22
785	9835.52
785.046	11513.12
785.092	13147.52
785.138	14445.72
785.185	15169.12
785.231	14983.62
785.277	14114.02
785.323	12652.62
785.369	10930.72
785.415	9373.22
785.461	8130.32
785.507	7780.92
785.553	8188.82
785.599	9424.82
785.645	11050.32
785.691	12770.32
785.737	14183.62
785.783	15245.92
785.829	15479.82
785.875	14970.52
785.921	13590.82
785.967	11921.82
786.012	10270.62
786.058	8823.32
786.104	8036.72
786.15	8254.02
786.196	9220.42
786.242	10561.32
786.288	12654.72
786.334	14384.52
786.379	15733.12
786.425	16359.32
786.471	16135.12
786.517	14878.32
786.563	13395.12
786.608	11581.22
786.654	9940.52
786.7	8910.92
786.746	8792.82
786.791	9418.32
786.837	10861.62
786.883	12785.82
786.929	14803.32
786.974	16396.52
787.02	17431.12
787.066	17749.02
787.111	16914.72
787.157	15474.92
787.203	13537.12
787.248	11650.62
787.294	10196.82
787.34	9405.42
787.385	9670.42
787.431	10731.52
787.476	12441.42
787.522	14488.02
787.567	16269.52
787.613	17810.62
787.659	18302.82
787.704	17805.52
787.75	16720.12
787.795	14891.72
787.841	12967.52
787.886	10996.72
787.932	9990.62
787.977	9731.82
788.023	10376.52
788.068	11723.72
788.114	13615.32
788.159	15466.82
788.204	17169.02
788.25	17915.52
788.295	17916.12
788.341	16988.32
788.386	15491.02
788.432	13547.72
788.477	11754.02
788.522	10492.22
788.568	9850.52
788.613	10274.82
788.658	11502.32
788.704	13454.12
788.749	15473.52
788.794	16964.72
788.84	18209.52
788.885	18700.42
788.93	18182.42
788.975	16694.52
789.021	14838.22
789.066	13131.72
789.111	11373.92
789.156	10642.92
789.202	10611.02
789.247	11661.02
789.292	13230.92
789.337	15368.92
789.382	17465.12
789.427	18889.22
789.473	19471.22
789.518	19218.62
789.563	18099.22
789.608	16451.42
789.653	14333.82
789.698	12759.72
789.743	11300.82
789.788	11067.22
789.834	11688.42
789.879	13028.52
789.924	14770.02
789.969	16826.42
790.014	18473.32
790.059	19374.72
790.104	19382.42
790.149	18560.22
790.194	17009.62
790.239	15015.22
790.284	13066.32
790.329	11784.42
790.374	11043.82
790.419	11390.62
790.464	12429.42
790.508	13994.62
790.553	15828.32
790.598	17570.02
790.643	18703.02
790.688	19121.22
790.733	18503.02
790.778	17189.42
790.823	15484.92
790.868	13588.52
790.912	12260.92
790.957	11271.72
791.002	11410.02
791.047	12334.42
791.092	13856.92
791.136	15616.12
791.181	17428.32
791.226	18846.02
791.271	19280.62
791.316	19108.42
791.36	18009.52
791.405	16442.62
791.45	14668.92
791.494	13073.52
791.539	11931.02
791.584	11745.32
791.628	12443.32
791.673	13844.92
791.718	15642.72
791.762	17582.32
791.807	19081.62
791.852	19871.62
791.896	19832.92
791.941	18902.92
791.986	17328.62
792.03	15531.02
792.075	13743.82
792.119	12538.52
792.164	11994.32
792.208	12393.22
792.253	13504.02
792.298	15194.72
792.342	17116.62
792.387	18611.02
792.431	19724.42
792.476	19796.72
792.52	19001.32
792.565	17749.92
792.609	16078.72
792.653	14268.72
792.698	12777.62
792.742	12191.42
792.787	12127.82
792.831	13208.52
792.876	14730.82
792.92	16661.52
792.964	18126.22
793.009	19450.02
793.053	19819.52
793.097	19340.42
793.142	18005.02
793.186	16319.82
793.23	14604.52
793.275	13443.12
793.319	12356.22
793.363	12311.62
793.408	13103.42
793.452	14537.82
793.496	16448.32
793.54	17995.52
793.585	19305.72
793.629	19850.32
793.673	19753.42
793.717	18679.92
793.762	17211.02
793.806	15435.02
793.85	13814.22
793.894	12924.32
793.938	12610.82
793.982	13284.82
794.027	14434.62
794.071	16114.32
794.115	17749.82
794.159	19134.82
794.203	20014.52
794.247	19960.02
794.291	19072.32
794.335	17731.12
794.379	15941.22
794.423	14372.22
794.467	12987.52
794.511	12725.12
794.556	12991.92
794.6	14063.92
794.644	15603.12
794.688	17227.12
794.732	18651.82
794.775	19699.62
794.819	19810.42
794.863	19244.52
794.907	18010.72
794.951	16355.42
794.995	14702.42
795.039	13356.82
795.083	12696.52
795.127	12852.02
795.171	13895.82
795.215	15280.62
795.259	17083.12
795.302	18782.42
795.346	19739.72
795.39	20253.22
795.434	19793.22
795.478	18684.02
795.522	17130.52
795.565	15405.22
795.609	14063.52
