Wavelength(nm)	Intensity
772.673	61.95
772.721	-16.05
772.77	2.85
772.819	-9.05
772.867	103.55
772.916	125.45
772.965	135.15
773.013	149.55
773.062	150.85
773.111	148.55
773.159	142.95
773.208	155.85
773.256	159.25
773.305	177.05
773.354	197.85
773.402	247.85
773.451	304.95
773.499	427.85
773.548	527.25
773.596	673.55
773.645	780.45
773.693	863.25
773.742	999.35
773.79	988.75
773.839	1056.85
773.887	1125.65
773.936	1076.75
773.984	1175.35
774.033	1190.55
774.081	1225.15
774.129	1157.95
774.178	1211.25
774.226	1216.55
774.275	1185.05
774.323	1205.65
774.371	1193.45
774.42	1174.05
774.468	1203.35
774.516	1190.55
774.565	1218.45
774.613	1220.45
774.661	1213.55
774.71	1218.05
774.758	1216.15
774.806	1226.25
774.854	1171.45
774.903	1223.65
774.951	1196.45
774.999	1228.95
775.047	1195.15
775.095	1203.85
775.144	1241.45
775.192	1233.35
775.24	1179.45
775.288	1234.55
775.336	1230.55
775.385	1223.15
775.433	1218.95
775.481	1243.65
775.529	1238.55
775.577	1251.75
775.625	1278.35
775.673	1251.05
775.721	1307.65
775.769	1298.35
775.817	1298.35
775.866	1313.55
775.914	1283.15
775.962	1329.65
776.01	1285.35
776.058	1255.15
776.106	1300.35
776.154	1348.45
776.202	1340.95
776.25	1294.15
776.298	1311.85
776.345	1284.05
776.393	1307.85
776.441	1284.85
776.489	1267.65
776.537	1293.65
776.585	1313.05
776.633	1297.05
776.681	1249.85
776.729	1385.85
776.777	1350.75
776.824	1325.25
776.872	1343.95
776.92	1303.45
776.968	1315.05
777.016	1289.65
777.064	1286.05
777.111	1274.15
777.159	1234.35
777.207	1242.65
777.255	1220.75
777.302	1260.55
777.35	1181.15
777.398	1200.35
777.446	1212.15
777.493	1244.25
777.541	1208.55
777.589	1203.15
777.636	1208.45
777.684	1182.75
777.732	1186.05
777.779	1169.45
777.827	1205.25
777.875	1227.05
777.922	1236.75
777.97	1188.25
778.018	1218.55
778.065	1234.35
778.113	1236.05
778.16	1244.65
778.208	1296.65
778.255	1267.85
778.303	1308.55
778.351	1358.85
778.398	1345.65
778.446	1403.35
778.493	1383.35
778.541	1397.45
778.588	1412.75
778.636	1489.95
778.683	1458.15
778.731	1475.35
778.778	1515.15
778.825	1579.75
778.873	1551.35
778.92	1626.65
778.968	1618.25
779.015	1716.15
779.062	1670.55
779.11	1754.65
779.157	1709.75
779.205	1771.05
779.252	1855.65
779.299	1835.55
779.347	1961.35
779.394	1985.15
779.441	2024.15
779.488	2120.65
779.536	2140.25
779.583	2192.35
779.63	2302.65
779.678	2371.65
779.725	2372.45
779.772	2382.55
779.819	2483.55
779.867	2507.25
779.914	2643.35
779.961	2648.35
780.008	2728.15
780.055	2798.65
780.102	2903.85
780.15	2935.65
780.197	3000.65
780.244	3057.15
780.291	3111.75
780.338	3247.65
780.385	3286.95
780.432	3336.95
780.479	3444.95
780.527	3496.25
780.574	3571.55
780.621	3618.55
780.668	3655.15
780.715	3785.35
780.762	3810.55
780.809	3908.75
780.856	4015.55
780.903	4062.15
780.95	4113.65
780.997	4189.65
781.044	4207.45
781.091	4277.05
781.138	4327.85
781.185	4409.65
781.232	4494.65
781.278	4577.75
781.325	4727.25
781.372	4652.05
781.419	4728.35
781.466	4864.55
781.513	4972.45
781.56	4991.35
781.607	5099.75
781.654	5189.25
781.7	5240.85
781.747	5377.05
781.794	5420.85
781.841	5531.35
781.888	5630.85
781.934	5767.25
781.981	5844.45
782.028	5951.45
782.075	5984.95
782.121	6147.05
782.168	6208.25
782.215	6384.85
782.262	6516.65
782.308	6591.65
782.355	6695.65
782.402	6753.05
782.448	6811.35
782.495	7046.95
782.542	7124.25
782.588	7129.05
782.635	7291.75
782.682	7374.65
782.728	7450.05
782.775	7605.85
782.821	7583.35
782.868	7741.85
782.915	7797.25
782.961	7802.75
783.008	7920.25
783.054	8009.85
783.101	8116.05
783.147	8138.55
783.194	8271.15
783.24	8155.25
783.287	8300.95
783.333	8418.65
783.38	8420.85
783.426	8454.15
783.473	8518.35
783.519	8706.65
783.566	8674.85
783.612	8754.15
783.658	8820.15
783.705	8767.85
783.751	8892.45
783.798	8995.85
783.844	8984.05
783.89	9166.15
783.937	9259.55
783.983	9354.85
784.029	9441.25
784.076	9364.95
784.122	9690.65
784.168	9628.65
784.215	9631.05
784.261	9900.05
784.307	9983.85
784.353	10059.65
784.4	10018.35
784.446	10323.85
784.492	10353.65
784.538	10546.35
784.585	10449.85
784.631	10700.75
784.677	10743.85
784.723	10778.55
784.769	10946.75
784.816	10937.65
784.862	10994.45
784.908	11232.95
784.954	11147.55
785	11207.85
785.046	11313.45
785.092	11342.85
785.138	11319.05
785.185	11510.45
785.231	11529.95
785.277	11681.35
785.323	11456.95
785.369	11794.05
785.415	11615.55
785.461	11623.65
785.507	11592.25
785.553	11669.15
785.599	11750.15
785.645	11868.65
785.691	11747.65
785.737	11774.95
785.783	11892.25
785.829	11844.15
785.875	11885.85
785.921	11929.15
785.967	11932.15
786.012	11890.95
786.058	11984.65
786.104	12063.05
786.15	11967.35
786.196	12077.75
786.242	12184.65
786.288	12179.05
786.334	12275.85
786.379	12299.45
786.425	12383.65
786.471	12563.45
786.517	12529.65
786.563	12672.45
786.608	12828.55
786.654	12844.85
786.7	12934.25
786.746	13019.15
786.791	13026.65
786.837	13152.95
786.883	13213.15
786.929	13278.65
786.974	13270.85
787.02	13481.45
787.066	13582.35
787.111	13548.05
787.157	13605.25
787.203	13716.45
787.248	13814.95
787.294	13771.15
787.34	13788.75
787.385	13836.75
787.431	13925.85
787.476	13920.75
787.522	13960.35
787.567	14084.85
787.613	13976.95
787.659	13991.15
787.704	14061.85
787.75	13994.45
787.795	14033.05
787.841	13961.85
787.886	14000.05
787.932	14065.95
787.977	14031.15
788.023	13989.85
788.068	14005.05
788.114	13991.65
788.159	14005.15
788.204	14051.35
788.25	13969.85
788.295	14039.45
788.341	13939.65
788.386	14121.35
788.432	13980.05
788.477	14149.35
788.522	14205.55
788.568	14184.85
788.613	14189.15
788.658	14213.65
788.704	14225.45
788.749	14421.85
788.794	14494.05
788.84	14485.85
788.885	14434.75
788.93	14601.75
788.975	14658.85
789.021	14687.55
789.066	14930.05
789.111	14880.25
789.156	14901.25
789.202	15048.35
789.247	15077.35
789.292	15088.25
789.337	15021.25
789.382	15224.45
789.427	15303.55
789.473	15337.55
789.518	15298.95
789.563	15395.55
789.608	15405.75
789.653	15363.15
789.698	15549.05
789.743	15538.15
789.788	15519.55
789.834	15427.75
789.879	15423.85
789.924	15487.35
789.969	15476.75
790.014	15414.65
790.059	15341.05
790.104	15483.75
790.149	15323.55
790.194	15346.95
790.239	15451.55
790.284	15306.65
790.329	15368.75
790.374	15177.15
790.419	15188.95
790.464	15185.75
790.508	15212.95
790.553	15164.65
790.598	15380.35
790.643	15122.35
790.688	15119.55
790.733	15152.35
790.778	15149.75
790.823	15136.25
790.868	15305.85
790.912	15330.25
790.957	15276.05
791.002	15413.35
791.047	15332.75
791.092	15356.25
791.136	15397.45
791.181	15501.65
791.226	15582.35
791.271	15498.95
791.316	15593.75
791.36	15709.85
791.405	15794.95
791.45	15747.25
791.494	15731.85
791.539	15866.35
791.584	15862.65
791.628	15928.65
791.673	15990.25
791.718	15964.05
791.762	15925.65
791.807	16075.95
791.852	16085.95
791.896	16190.25
791.941	16116.25
791.986	16045.95
792.03	16024.35
792.075	16068.15
792.119	16184.85
792.164	16045.65
792.208	16086.55
792.253	16047.35
792.298	16063.05
792.342	16236.95
792.387	16101.35
792.431	16008.75
792.476	15976.05
792.52	16090.65
792.565	16021.25
792.609	16086.05
792.653	16015.05
792.698	16062.95
792.742	15941.75
792.787	15998.15
792.831	16118.85
792.876	16027.15
792.92	16112.85
792.964	16035.55
793.009	16124.35
793.053	16109.85
793.097	16142.75
793.142	16059.35
793.186	16045.15
793.23	16127.85
793.275	16119.45
793.319	16275.55
793.363	16189.95
793.408	16212.75
793.452	16169.15
793.496	16151.65
793.54	16406.85
793.585	16356.05
793.629	16451.65
793.673	16273.75
793.717	16412.25
793.762	16332.35
793.806	16432.35
793.85	16446.55
793.894	16471.65
793.938	16518.15
793.982	16717.15
794.027	16384.95
794.071	16468.65
794.115	16329.15
794.159	16574.15
794.203	16598.85
794.247	16452.35
794.291	16273.65
794.335	16473.45
794.379	16367.55
794.423	16416.55
794.467	16461.85
794.511	16636.45
794.556	16478.25
794.6	16507.25
794.644	16469.45
794.688	16342.45
794.732	16406.15
794.775	16313.95
794.819	16400.75
794.863	16513.85
794.907	16399.05
794.951	16634.75
794.995	16382.75
795.039	16469.15
795.083	16411.85
795.127	16562.35
795.171	16547.15
795.215	16563.95
795.259	16584.45
795.302	16491.75
795.346	16740.05
795.39	16644.55
795.434	16722.55
795.478	16588.35
795.522	16905.85
795.565	16806.55
795.609	16683.85
795.653	16966.15
795.697	16929.35
795.74	17061.45
795.784	17017.35
795.828	16936.95
795.872	16879.35
795.915	16924.35
795.959	16918.35
796.003	17062.75
796.047	16977.05
796.09	17005.75
796.134	16989.25
796.178	17020.85
796.221	16884.15
796.265	16990.95
796.308	17024.05
796.352	16965.25
796.396	17001.15
796.439	16957.85
796.483	16835.15
796.526	16735.75
796.57	16823.45
796.614	16736.25
796.657	16702.75
796.701	16749.55
796.744	16631.45
796.788	16665.15
796.831	16486.15
796.875	16501.85
796.918	16607.85
796.962	16506.55
797.005	16424.15
797.049	16581.55
797.092	16499.95
797.136	16441.95
797.179	16441.65
797.222	16444.15
797.266	16527.25
797.309	16489.25
797.353	16491.25
797.396	16541.95
797.439	16642.25
797.483	16662.45
797.526	16596.45
797.569	16643.75
797.613	16645.45
797.656	16632.75
797.699	16705.85
797.743	16776.05
797.786	16696.05
797.829	16871.35
797.873	16964.35
797.916	17007.85
797.959	16814.55
798.002	17130.75
798.045	17143.75
798.089	17173.15
798.132	17328.65
798.175	17319.95
798.218	17273.75
798.262	17468.65
798.305	17358.35
798.348	17418.15
798.391	17298.25
798.434	17317.25
798.477	17377.15
798.52	17400.45
798.564	17368.45
798.607	17479.05
798.65	17476.95
798.693	17372.25
798.736	17413.95
798.779	17386.25
798.822	17386.45
798.865	17249.75
798.908	17235.85
798.951	17303.25
798.994	17369.15
799.037	17152.65
799.08	17175.35
799.123	17023.25
799.166	16994.75
799.209	16829.95
799.252	16812.85
799.295	16874.85
799.338	16876.95
799.381	16930.35
799.424	16980.55
799.467	16909.35
799.51	16906.15
799.552	17011.55
799.595	16862.35
799.638	16876.55
799.681	16895.15
799.724	16848.25
799.767	16866.75
799.81	17049.75
799.852	16948.55
799.895	16834.05
799.938	16876.85
799.981	16919.55
800.024	16926.05
800.066	16937.35
800.109	16919.85
800.152	16828.15
800.195	16967.95
800.237	16871.75
800.28	16982.15
800.323	17022.15
800.365	16982.45
800.408	17143.95
800.451	17301.55
800.493	17278.35
800.536	17189.85
800.579	17448.05
800.621	17345.25
800.664	17256.45
800.707	17236.45
800.749	17341.65
800.792	17248.15
800.834	17469.75
800.877	17393.75
800.92	17381.45
800.962	17379.65
801.005	17317.45
801.047	17461.05
801.09	17361.15
801.132	17186.25
801.175	17268.95
801.217	17344.05
801.26	17214.25
801.302	17284.25
801.345	17306.65
801.387	17226.05
801.43	17273.95
801.472	17119.75
801.514	17220.45
801.557	17207.45
801.599	17192.45
801.642	17330.85
801.684	17196.05
801.726	17326.75
801.769	17278.95
801.811	17200.55
801.854	17293.75
801.896	17296.35
801.938	17334.65
801.981	17301.05
802.023	17397.55
802.065	17229.95
802.107	17351.95
802.15	17394.15
802.192	17402.55
802.234	17391.75
802.276	17338.65
802.319	17462.65
802.361	17629.05
802.403	17607.55
802.445	17387.25
802.488	17690.65
802.53	17717.95
802.572	17655.55
802.614	17707.65
802.656	17830.85
802.698	17735.25
802.741	17850.15
802.783	17723.45
802.825	17811.55
802.867	17797.55
802.909	17812.95
802.951	17786.65
802.993	17721.15
803.035	17606.05
803.077	17852.85
803.119	17677.15
803.161	17658.55
803.204	17789.45
803.246	17614.35
803.288	17661.45
803.33	17584.85
803.372	17724.65
803.414	17454.75
803.456	17643.95
803.497	17484.25
803.539	17529.05
803.581	17474.95
