Wavelength(nm)	Intensity
772.673	62.78
772.721	-14.22
772.77	4.68
772.819	-0.22
772.867	108.38
772.916	111.28
772.965	121.98
773.013	167.38
773.062	141.68
773.111	168.38
773.159	165.78
773.208	135.68
773.256	171.08
773.305	175.88
773.354	201.68
773.402	239.68
773.451	323.78
773.499	438.68
773.548	572.08
773.596	679.38
773.645	766.28
773.693	885.08
773.742	972.18
773.79	1002.58
773.839	1096.68
773.887	1100.48
773.936	1128.58
773.984	1176.18
774.033	1193.38
774.081	1247.98
774.129	1235.78
774.178	1214.08
774.226	1223.38
774.275	1175.88
774.323	1238.48
774.371	1214.28
774.42	1170.88
774.468	1219.18
774.516	1231.38
774.565	1240.28
774.613	1244.28
774.661	1229.38
774.71	1224.88
774.758	1222.98
774.806	1211.08
774.854	1206.28
774.903	1202.48
774.951	1172.28
774.999	1200.78
775.047	1161.98
775.095	1173.68
775.144	1222.28
775.192	1253.18
775.24	1246.28
775.288	1262.38
775.336	1224.38
775.385	1269.98
775.433	1272.78
775.481	1269.48
775.529	1246.38
775.577	1277.58
775.625	1235.18
775.673	1228.88
775.721	1223.48
775.769	1254.18
775.817	1283.18
775.866	1273.38
775.914	1364.98
775.962	1329.48
776.01	1310.18
776.058	1334.98
776.106	1326.18
776.154	1342.28
776.202	1296.78
776.25	1323.98
776.298	1271.68
776.345	1281.88
776.393	1327.68
776.441	1319.68
776.489	1312.48
776.537	1311.48
776.585	1349.88
776.633	1344.88
776.681	1379.68
776.729	1406.68
776.777	1361.58
776.824	1379.08
776.872	1283.78
776.92	1289.28
776.968	1286.88
777.016	1242.48
777.064	1247.88
777.111	1288.98
777.159	1295.18
777.207	1252.48
777.255	1264.58
777.302	1269.38
777.35	1226.98
777.398	1243.18
777.446	1221.98
777.493	1181.08
777.541	1199.38
777.589	1180.98
777.636	1153.28
777.684	1180.58
777.732	1180.88
777.779	1183.28
777.827	1179.08
777.875	1204.88
777.922	1257.58
777.97	1237.08
778.018	1214.38
778.065	1251.18
778.113	1243.88
778.16	1283.48
778.208	1335.48
778.255	1278.68
778.303	1309.38
778.351	1365.68
778.398	1405.48
778.446	1363.18
778.493	1360.18
778.541	1392.28
778.588	1406.58
778.636	1451.78
778.683	1446.98
778.731	1474.18
778.778	1527.98
778.825	1578.58
778.873	1633.18
778.92	1620.48
778.968	1679.08
779.015	1705.98
779.062	1697.38
779.11	1732.48
779.157	1804.58
779.205	1801.88
779.252	1804.48
779.299	1870.38
779.347	1869.18
779.394	1959.98
779.441	2106.98
779.488	2084.48
779.536	2200.08
779.583	2185.18
779.63	2278.48
779.678	2298.48
779.725	2312.28
779.772	2407.38
779.819	2440.38
779.867	2477.08
779.914	2618.18
779.961	2716.18
780.008	2717.98
780.055	2926.48
780.102	2946.68
780.15	3066.48
780.197	3174.48
780.244	3149.98
780.291	3125.58
780.338	3105.48
780.385	3018.78
780.432	2939.78
780.479	2967.78
780.527	3068.08
780.574	3235.38
780.621	3371.38
780.668	3475.98
780.715	3621.18
780.762	3752.38
780.809	3921.58
780.856	4128.38
780.903	4184.98
780.95	4163.48
780.997	4242.48
781.044	4190.28
781.091	4249.88
781.138	4414.68
781.185	4375.48
781.232	4508.48
781.278	4599.58
781.325	4753.08
781.372	4744.88
781.419	4885.18
781.466	4969.38
781.513	4889.28
781.56	4902.18
781.607	5054.58
781.654	5019.08
781.7	5221.68
781.747	5341.88
781.794	5582.68
781.841	5804.18
781.888	6088.68
781.934	6198.08
781.981	6387.28
782.028	6399.28
782.075	6274.78
782.121	6174.88
782.168	5936.08
782.215	5587.68
782.262	5452.48
782.308	5317.48
782.355	5497.48
782.402	5714.88
782.448	6219.18
782.495	6853.78
782.542	7633.08
782.588	8263.88
782.635	8942.58
782.682	9163.48
782.728	9304.88
782.775	9164.68
782.821	8636.18
782.868	8026.68
782.915	7344.08
782.961	6735.58
783.008	6289.08
783.054	6122.68
783.101	6285.88
783.147	6799.38
783.194	7485.98
783.24	8428.08
783.287	9274.78
783.333	10054.48
783.38	10334.68
783.426	10472.98
783.473	10220.18
783.519	9622.48
783.566	8947.68
783.612	8065.98
783.658	7421.98
783.705	6823.68
783.751	6849.28
783.798	7307.68
783.844	7946.88
783.89	8923.98
783.937	9952.38
783.983	10844.68
784.029	11411.08
784.076	11812.78
784.122	11588.48
784.168	11037.48
784.215	10262.88
784.261	9288.88
784.307	8453.68
784.353	8107.48
784.4	7873.18
784.446	8105.68
784.492	8836.48
784.538	9844.18
784.585	11038.68
784.631	12146.58
784.677	12924.68
784.723	13274.38
784.769	13312.58
784.816	12808.48
784.862	11960.28
784.908	10923.78
784.954	10023.38
785	9214.68
785.046	8931.28
785.092	9019.68
785.138	9648.88
785.185	10627.28
785.231	11815.78
785.277	12961.18
785.323	13611.78
785.369	14267.88
785.415	14184.38
785.461	13651.48
785.507	12744.08
785.553	11658.98
785.599	10508.98
785.645	9631.48
785.691	9384.48
785.737	9398.78
785.783	9902.08
785.829	10941.98
785.875	12077.68
785.921	13266.98
785.967	14037.98
786.012	14568.78
786.058	14549.48
786.104	14009.88
786.15	13142.18
786.196	12014.58
786.242	10921.48
786.288	10018.88
786.334	9781.68
786.379	9827.28
786.425	10565.48
786.471	11587.28
786.517	12980.48
786.563	14077.28
786.608	15042.38
786.654	15603.68
786.7	15574.08
786.746	15158.98
786.791	14183.48
786.837	13076.78
786.883	11887.98
786.929	11079.48
786.974	10631.68
787.02	10802.28
787.066	11421.18
787.111	12539.88
787.157	13884.08
787.203	15207.28
787.248	16162.78
787.294	16846.98
787.34	16716.58
787.385	16319.58
787.431	15143.68
787.476	13984.58
787.522	12657.18
787.567	11730.68
787.613	11257.78
787.659	11324.98
787.704	12053.68
787.75	12939.28
787.795	14086.88
787.841	15459.68
787.886	16326.88
787.932	16808.78
787.977	16835.98
788.023	16248.68
788.068	15314.88
788.114	14010.48
788.159	12884.98
788.204	11848.18
788.25	11282.68
788.295	11399.28
788.341	12026.48
788.386	13060.18
788.432	14286.88
788.477	15652.18
788.522	16505.38
788.568	16847.68
788.613	17028.98
788.658	16228.48
788.704	15332.28
788.749	14168.68
788.794	13058.88
788.84	12171.68
788.885	11799.58
788.93	11984.58
788.975	12715.68
789.021	13956.38
789.066	15333.88
789.111	16495.08
789.156	17397.08
789.202	17994.18
789.247	17853.18
789.292	17064.08
789.337	16116.08
789.382	14967.28
789.427	13732.38
789.473	12961.38
789.518	12535.78
789.563	12641.38
789.608	13503.58
789.653	14571.98
789.698	15811.88
789.743	17062.98
789.788	18105.38
789.834	18382.58
789.879	18074.68
789.924	17448.18
789.969	16461.58
790.014	15147.48
790.059	13882.88
790.104	13103.58
790.149	12770.38
790.194	12884.78
790.239	13610.38
790.284	14664.48
790.329	15832.58
790.374	17026.98
790.419	17864.78
790.464	17934.58
790.508	17750.78
790.553	16905.48
790.598	15777.18
790.643	14714.18
790.688	13650.38
790.733	12913.18
790.778	12680.58
790.823	12956.08
790.868	13684.68
790.912	14823.08
790.957	16098.88
791.002	17268.18
791.047	17991.58
791.092	18143.08
791.136	17863.28
791.181	16981.48
791.226	15893.18
791.271	14654.78
791.316	13792.58
791.36	13147.68
791.405	13103.78
791.45	13552.08
791.494	14546.68
791.539	15810.18
791.584	16897.48
791.628	18023.48
791.673	18675.08
791.718	18777.88
791.762	18317.48
791.807	17434.78
791.852	16273.78
791.896	14997.08
791.941	14108.08
791.986	13507.78
792.03	13455.18
792.075	14070.98
792.119	14952.68
792.164	16390.48
792.208	17341.38
792.253	18323.18
792.298	18836.88
792.342	18780.78
792.387	18074.18
792.431	17229.58
792.476	16027.88
792.52	14910.48
792.565	14100.08
792.609	13613.88
792.653	13648.88
792.698	14346.78
792.742	15085.58
792.787	16283.98
792.831	17375.68
792.876	18217.98
792.92	18720.68
792.964	18412.38
793.009	17882.18
793.053	16870.68
793.097	15824.58
793.142	14724.18
793.186	13988.98
793.23	13810.68
793.275	13949.28
793.319	14607.38
793.363	15671.78
793.408	16805.58
793.452	17883.98
793.496	18618.48
793.54	18849.68
793.585	18527.88
793.629	18046.48
793.673	16972.58
793.717	15907.08
793.762	14721.18
793.806	14164.18
793.85	13978.38
793.894	14211.48
793.938	15155.98
793.982	16162.98
794.027	17449.78
794.071	18468.48
794.115	18951.98
794.159	19056.98
794.203	18788.68
794.247	17778.18
794.291	16709.48
794.335	15700.28
794.379	14686.38
794.423	14094.38
794.467	14063.68
794.511	14508.28
794.556	15419.08
794.6	16314.08
794.644	17411.28
794.688	18236.28
794.732	18864.98
794.775	18747.78
794.819	18319.58
794.863	17538.68
794.907	16400.88
794.951	15324.58
794.995	14590.58
795.039	14170.98
795.083	14260.68
795.127	14743.18
795.171	15833.98
795.215	16886.78
795.259	17785.28
795.302	18715.58
795.346	19285.88
795.39	19048.38
795.434	18589.38
795.478	17788.18
795.522	16613.68
795.565	15513.38
795.609	14732.68
795.653	14352.98
795.697	14672.18
795.74	15315.28
795.784	16237.18
795.828	17381.78
795.872	18454.18
795.915	19122.18
795.959	19554.18
796.003	19244.58
796.047	18893.88
796.09	17774.58
796.134	16669.08
796.178	15785.68
796.221	15050.98
796.265	14786.78
796.308	14888.88
796.352	15462.08
796.396	16352.98
796.439	17389.68
796.483	18450.98
796.526	19075.58
796.57	19301.28
796.614	18873.08
796.657	18293.58
796.701	17354.38
796.744	16304.28
796.788	15157.98
796.831	14604.98
796.875	14257.68
796.918	14527.68
796.962	15138.38
797.005	16120.98
797.049	17273.38
797.092	18089.78
797.136	18722.78
797.179	18827.48
797.222	18552.98
797.266	17972.08
797.309	16830.08
797.353	15980.08
797.396	15111.78
797.439	14294.08
797.483	14200.28
797.526	14647.28
797.569	15366.58
797.613	16388.28
797.656	17407.58
797.699	18477.68
797.743	18975.88
797.786	19196.88
797.829	19000.18
797.873	18337.18
797.916	17377.68
797.959	16352.38
798.002	15429.58
798.045	14899.58
798.089	14897.98
798.132	15120.48
798.175	15944.78
798.218	17026.58
798.262	18101.48
798.305	19072.18
798.348	19651.98
798.391	19910.08
798.434	19643.08
798.477	18828.98
798.52	17849.28
798.564	16770.28
798.607	15914.88
798.65	15118.78
798.693	14811.08
798.736	15236.78
798.779	16054.08
798.822	17012.28
798.865	17951.58
798.908	18810.68
798.951	19591.08
798.994	19722.98
799.037	19479.48
799.08	18749.18
799.123	17562.08
799.166	16322.58
799.209	15526.78
799.252	14770.68
799.295	14399.68
799.338	14812.78
799.381	15406.18
799.424	16371.38
799.467	17489.18
799.51	18266.98
799.552	19140.38
799.595	19309.18
799.638	19066.38
799.681	18327.98
799.724	17467.08
799.767	16332.58
799.81	15433.58
799.852	14814.38
799.895	14608.88
799.938	14651.68
799.981	15380.38
800.024	16333.88
800.066	17393.18
800.109	18346.68
800.152	18961.98
800.195	19302.78
800.237	19129.58
800.28	18709.98
800.323	17660.98
800.365	16784.28
800.408	15892.78
800.451	15238.38
800.493	14736.18
800.536	15104.68
800.579	15591.88
800.621	16457.08
800.664	17605.28
800.707	18516.28
800.749	19528.48
800.792	19784.98
800.834	19828.58
800.877	19288.58
800.92	18385.28
800.962	17378.48
801.005	16315.28
801.047	15426.88
801.09	14966.98
801.132	14854.08
801.175	15338.78
801.217	16197.88
801.26	17087.08
801.302	18374.08
801.345	19014.48
801.387	19523.88
801.43	19912.78
801.472	19319.58
801.514	18621.28
801.557	17438.28
801.599	16408.28
801.642	15571.68
801.684	14863.88
801.726	14786.58
801.769	15083.78
801.811	15926.38
801.854	16840.58
801.896	17843.18
801.938	18865.48
801.981	19621.88
802.023	19666.38
802.065	19559.78
802.107	18958.78
802.15	18051.98
802.192	16848.38
802.234	15903.58
802.276	15195.48
802.319	14783.48
802.361	15107.88
802.403	15819.38
802.445	16816.08
802.488	18055.48
802.53	19103.78
802.572	19869.38
802.614	20331.48
802.656	20234.68
802.698	19743.08
802.741	18867.98
802.783	17887.28
802.825	16680.38
802.867	15724.38
802.909	15214.78
802.951	15161.48
802.993	15641.98
803.035	16446.88
803.077	17681.68
803.119	18569.98
803.161	19617.38
803.204	20239.28
803.246	20343.18
803.288	19906.28
803.33	19261.68
803.372	18171.48
803.414	17040.58
803.456	15924.78
803.497	15141.08
803.539	14780.88
803.581	15167.78
803.623	15519.88
803.665	16625.88
803.707	17582.18
803.749	18548.68
803.791	19480.58
803.833	19791.68
803.875	19749.98
803.917	19088.28
803.958	18166.28
804	17001.58
804.042	15923.78
804.084	15041.28
804.126	14574.88
804.168	14538.98
804.209	14849.38
804.251	15711.48
804.293	17043.98
804.335	17992.98
804.376	19181.38
804.418	19549.48
804.46	19954.78
804.502	19416.78
804.543	18873.58
804.585	17702.88
804.627	16725.58
804.668	15711.78
804.71	14979.18
804.752	14721.38
804.793	14965.78
804.835	15711.88
804.877	16622.88
804.918	17995.28
804.96	19146.38
805.002	19958.78
805.043	20560.58
805.085	20413.68
805.126	19888.98
805.168	19222.98
805.209	17982.38
805.251	16870.58
805.293	15964.28
805.334	15188.28
805.376	15033.08
805.417	15507.78
805.459	16326.38
805.5	17513.08
805.542	18806.98
805.583	19800.28
805.624	20567.38
805.666	20790.98
805.707	20665.18
805.749	19946.38
805.79	18808.08
805.832	17556.98
805.873	16527.28
805.914	15534.98
805.956	15109.58
805.997	15035.48
806.039	15452.98
806.08	16226.08
806.121	17483.78
806.163	18657.08
806.204	19543.28
806.245	20164.08
806.286	20315.48
806.328	20014.28
806.369	19143.68
806.41	18183.48
806.452	17056.88
806.493	15755.58
806.534	14896.98
806.575	14485.28
806.616	14523.48
806.658	15222.08
806.699	16165.18
806.74	17333.98
806.781	18353.58
806.822	19415.98
806.864	20003.08
806.905	19941.78
806.946	19518.18
806.987	18682.98
807.028	17559.58
807.069	16381.28
807.11	15410.28
807.151	14582.48
807.193	14290.88
807.234	14629.28
807.275	15170.18
807.316	16313.18
807.357	17210.48
807.398	18491.68
807.439	19501.88
807.48	19853.68
807.521	19944.28
807.562	19422.88
807.603	18551.58
807.644	17415.88
807.685	16197.48
807.726	14922.18
807.767	14412.88
807.808	14173.18
807.848	14394.08
807.889	15139.18
807.93	16175.08
807.971	17259.88
808.012	18355.08
808.053	19352.58
808.094	19714.48
808.135	19612.08
808.176	19000.88
808.216	18087.48
808.257	16934.28
808.298	15775.18
